Allow me:	Bana izin ver
I don’t want to	:İstemiyorum
I don’t have time:	Zamanım yok
I have no idea	:Hiçbir fikrim yok
It doesn’t matter:	Fark etmez
Not at all	:Önemli değil
Not bad	:Kötü değil
Not yet	:Daha değil
Anything else?	:Başka bir şey var mı?
Are you coming with me?	:Benimle geliyor musun?
Are you coming?:	Geliyor musun?
Are you done?	:Bitirdin mi?
Are you hungry?:	Aç mısın?
Are you kidding me?	:Benimle dalga mı geçiyorsun?
Are you lost?:	Kayıp mı oldun?
Are you not feeling well?	:Kendini iyi hissetmiyor musun?
Are you okay?	:İyi misin?
Are you sure?	:Emin misin?
Can I ask you something?	:Sana bir şey sorabilir miyim?
Can I help you?	:Yardım edebilir miyim?
Can you help me please?:	Lütfen bana yardım eder misin?
Can you please repeat that?:	Lütfen tekrar eder misin?
Can you repeat it?:	Tekrar edebilir misin?
Did you get it?	:Aldın mı? / Anladın mı?
Did you lose your bag?:	Çantanızı mı kaybettiniz?
Do l have to?	:Yapmak zorunda mıyım?
Do you need anything?:	Bir şeye ihtiyacın var mı?
Do you speak our language?	:Dilimizi konuşabiliyor musunuz?
Do you understand?:	Anlıyor musun?
Do you want it?	:Bunu istiyor musun?
Do you want something?:	Bir şey ister misin?
Excuse me?	:Bakar mısınız?
For what?:	Ne için?
Guess what?:	Tahmin et, ne oldu?
How are things doing?:	İşler nasıl gidiyor?
How are you?:	Nasılsın?
How do you feel?:	Ne hissediyorsun?
How much is it?:	Fiyatı ne kadar?
How much?:	Ne kadar?
How old are you?:	Kaç yaşındasın?
How was your weekend?:	Hafta sonun nasıldı?
Is all good?:	Her şey iyi mi?
Is everything OK?:	Her şey yolunda mı?
Is it true or false?:	Doğru mu yanlış mı?
What are you doing?:	Ne yapıyorsun?
What are you talking about?:	Neyden bahsediyorsun?
What are you up to?:	Neler yapıyorsun?
What are your hobbies?:	Hobilerin neler?
What did you say?:	Ne dedin?
What do you need?:	Neye ihtiyacın var?
What do you think?:	Ne düşünüyorsun?
What do you want to do?:	Ne yapmak istersin?
What else?	:Başka
What happened?:	Ne oldu?
What is the matter?:	Sorun nedir?
What time is it?:	Saat kaç?
What’s going on?:	Neler oluyor?
What’s the weather like?:	Hava nasıl?
What’s up?	:Ne haber?
What’s wrong with you?:	Neyin var?
What’s your email address?	:E-posta adresin ne?
What’s your job?	:Ne iş yapıyorsun?
What’s your name?:	Adın ne?
What’s your phone number?	:Telefon numaran ne?
When did you come here?:	Ne zaman buraya geldin?
Where are you from?	:Nerelisin?
Where are you going?	:Nereye gidiyorsun?
Where are you?:	Neredesin?
Where did you get it?:	Bunu nereden aldın?
Where do you live?	:Nerede yaşıyorsun?
Where have you been all this while:	Bunca zamandır neredeydin?
Which bus do you want?:	Hangi otobüsü istiyorsun?
Who are you?:	Kimsin sen?
Why not?:	Neden olmasın?
Why are you here?:	Neden buradasın?
